,headline,is_sarcastic
112,Non-White Jail Officers Claim They Weren't Allowed To Monitor Derek Chauvin,0
113,Tennessee Newspaper Blasted For Printing Ad Claiming 'Islam' Is Going To Nuke Nashville,0
114,Homeland Security Secretary: Trump's Threats To 'Bomb' Bolton Were A Joke,0
115,House Judiciary Chairman: Calls For Barr's Impeachment Are 'Waste Of Time',0
116,"Washington NFL Team Retires Jersey Of Its First Black Player, Leaves Racist Name In Place",0
117,"Minneapolis Shooting Leaves 1 Dead, 11 Injured",0
118,Trump Uses Racist Terms 'Kung Flu' And 'Chinese Virus' To Describe COVID-19,0
119,"Trump Camp Lashes Media, 'Radical Protesters' For Lackluster Rally Turnout",0
120,"After Weeks Of Anticipation, Trump Rally Crowd Underwhelms",0
121,Twin Trump 'Bunker Baby' Balloons Make The Scene Ahead Of Tulsa Rally,0
122,North Face Becomes Biggest Brand To Pull Ads From Facebook In #StopHateforProfit Movement,0
123,Trump Fires U.S. Attorney Who Led Probes Of The President's Men,0
124,6 Staffers Working On Trump's Tulsa Rally Test Positive For COVID-19,0
125,Community Wants Answers After LA Deputies Fatally Shoot Teen Who Ran From Them,0
126,Police Arrest Peaceful Protester Sitting Alone By Trump Rally Venue,0
127,Eskimo Pie Drops 'Derogatory' Name After Nearly A Century,0
128,Public Enemy Tells 'Dictator' Trump To ‘Shut The F**k Up' In Explosive New Song,0
129,Who Owns A River? The Question Is Tearing This Community Apart,0
130,Mick Mulvaney Spectacularly Self-Owns With His 'One Criticism' Of Donald Trump,0
131,Tulsa Health Official Has A Stark Wake-Up Call For People Attending Trump Rally,0
132,Robert E. Lee Statue Sleeps With The Fishes In Jim Carrey’s New Cartoon,0
133,Fox News' John Roberts Uses War Analogy To Describe Preparing For Trump Rally In Pandemic,0
134,Susan Rice Explains Exactly Why Trump's White House Is 'Racist To Its Core',0
135,Scathing Supercut Shows How Quickly Trump Flips On His Once Most Trusted Aides,0
136,US Attorney Who Oversaw Cases Of Trump Allies Steps Down,0
137,Trump Compared To Segregationist George Wallace In Scathing Republican Ad,0
138,"Pressed Repeatedly To Say ‘Black Lives Matter,’ Mike Pence Says ‘All Lives Matter’",0
139,Anthony Fauci Warned White House That Tulsa Rally Would Be Dangerous: Report,0
140,Twitter Users Give Trump's Tulsa Rally Another Name: 'Coronapalooza',0
141,"Little Sign Of COVID Spike After Nationwide Protests, But Officials Remain Cautious",0
142,Thomas Jefferson Descendant Calls For Removal Of His Famous Ancestor's Statues,0
143,Juneteenth Will Be An Official Holiday In New York City Starting In 2021,0
144,The Real Looters Of The Bronx,0
145,Judge Doubts White House Can Keep Bolton Book Away From Public,0
146,Melania Trump Posts Juneteenth Tweet And Gets Reminded Of 'Birther' Past,0
147,Navy Upholds Firing Of Carrier Captain In Virus Outbreak,0
148,Juneteenth Brings Anti-Racism Protesters Out From Coast To Coast,0
149,"More Lawmakers, Including Republicans, Support A Juneteenth National Holiday",0
150,Civil Rights Groups Ask Advertisers To Stop Buying Facebook Ads In July,0
151,Louisville Officer Is Being Fired 3 Months After Fatally Shooting Breonna Taylor,0
152,Trump Threatens Protesters On Juneteenth,0
153,Mountain Lion Caught In Downtown San Francisco,0
154,Street Art Takes A Stand Against Racism In Solidarity With Black Lives Matter,0
155,Simone Biles Casually Nails Another Astonishing Move In Training,0
156,Arnold Schwarzenegger Goes Full Terminator On People Politicizing Face Masks,0
157,Charles Booker Suddenly Has Progressives Excited About Kentucky,0
158,"Bartenders Share What Their Jobs, Lives Look Like In A COVID-19 World",0
159,Conservative Columnist Underscores The Magnitude Of What Bolton’s Book Reveals,0
160,"Trump Insists He's Healthy, Says West Point Ramp 'Was Like An Ice Skating Rink'",0
161,Twitter Users Take Eric Trump To The Woodshed For Lame Swipe At Biden,0
162,Tennessee Lawmakers Advance 6-Week Abortion Ban In Overnight Vote,0
163,'Into the Wild' Bus Removed From Alaska Backcountry,0
164,12-Year-Old ‘This Is Us' Star Reveals The Racism He’s Already Experienced,0
165,Twitter Adds 'Manipulated Media' Tag To Trump Tweet About 'Racist Baby',0
166,Oklahoma Republicans Speak Out Against Trump Ahead Of Tulsa Rally,0
167,Fauci Warns Of Troubling ‘Anti-Science’ Beliefs As Nation Battles Coronavirus,0
168,Senior State Department Official Resigns Over Trump’s Response To Racial Injustice,0
169,Here Are 9 Tips You Need To Know Before You Ride A Bike In A City,0
170,Americans Are Losing Faith In What The Government Says About Coronavirus,0
171,Billie Eilish Gets 3-Year Restraining Order For Trespasser,0
172,CBS Reporter Paula Reid Asks Trump Question All Journalists Should Ask,0
173,‘We’re Here To Stay’: Dreamers Celebrate DACA Ruling,0
174,Effigy Found Near California Park Where Nooses Were Recently Removed,0
175,Florida Sees Record Number Of Coronavirus Cases As Experts Eye Possible New Epicenter,0
176,Genetically Modified 'Friendly' Mosquitoes Approved For Insect Population Control In the U.S.,0
177,Senate Confirms Mitch McConnell's 38-Year-Old Protege To Powerful Court Seat,0
178,Republicans Dismiss Bombshell John Bolton Allegations Against Trump,0
179,Lin-Manuel Miranda Burns John Bolton For Using 'Hamilton' Song As Book Title,0
180,The Trump Administration Has Left Workplace Safety Up To Your Boss,0
181,Millions Of Hydroxychloroquine Pills That Trump Touted For COVID-19 Are Now In Limbo,0
182,Justices OK James Brown's Dying Wish: Funding Needy Kids Education,0
183,Video Shows 6 American Oil Executives Jailed In Venezuela,0
184,Former U.S. Ambassador Jean Kennedy Smith Dies At 92,0
185,Twitter Users Pile On Trump After He Asks If Supreme Court Dislikes Him,0
186,Federal Prison Riot Team That Patrolled D.C. Streets Injured Colleagues In Training Exercises,0
187,Trump Rips Supreme Court Ruling That Saves DACA: 'Shotgun Blasts Into The Face',0
188,GOP Sheriff Who Refused To Enforce Coronavirus Lockdown Tests Positive At White House,0
189,"Supreme Court Rules Trump Wrongly Ended DACA, Leaves Program In Place",0
190,Atlanta Police Officers Call Out Of Work After Officers Charged In Rayshard Brooks Case,0
191,1.5 Million More Americans Sought Unemployment Claims Last Week,0
192,"John Bolton: Trump Not Fit For Office, Putin Thinks He Can 'Play Him Like A Fiddle'",0
193,Jim Carrey Puts A Cartoon Spin On Trump's New Twitter Record,0
194,Tucker Carlson’s Racist Rhetoric Laid Bare With The Help Of Some... Rabbits,0
195,GOP Senator Tells Trump Fans At High Risk For Coronavirus To Skip Rally,0
196,Trump's Midnight Twitter Rant Against Bolton Backfires Spectacularly,0
197,Late Show Hosts Expose The Big Problem With John Bolton’s Tell-All Trump Book,0
198,'Disturbing’ Ivanka Trump Emails Resurface In Wake Of Bolton Book,0
199,WaPost Board: Pence Destroys Own Credibility By Ignoring Coronavirus Reality,0
200,Chris Hayes Goes To Town On ‘Morally Odious’ Bolton: Trying To 'Cash In On Betrayal',0
201,Rep. Cedric Richmond Calls Out Matt Gaetz In Fiery Exchange: 'Was That A Nerve?',0
202,"Trump Says Police Killing Of Rayshard Brooks ‘Terrible,’ But ‘You Can’t Resist’ Officers",0
203,Trump Excoriates John Bolton Ahead Of Book Release: 'He Is A Liar',0
204,Justice Department Seeks Restraining Order Against John Bolton Over New Book,0
205,Kobe Bryant's Pilot May Have Been Disoriented In Fog: NTSB Report,0
206,Bolton Claims Trump Encouraged Xi To Build 'Concentration Camps' For Uighurs,0
207,Boy Scouts Of America Will Require Eagle Scouts To Earn New Diversity Badge,0
208,California Police Investigating Nooses Found In Trees As A Hate Crime,0
209,Former Atlanta Cop Charged With Murder In Death Of Rayshard Brooks,0
210,ACLU Drags John Bolton's Record After He Retweets Support Of His Book Release,0
211,Tulsa Health Official Urges Rally Postponement As Oklahoma Sees Spike In COVID-19 Cases,0
212,Bolton Claims Trump Asked China's President For Favor To Boost Reelection Chances,0
213,Atlanta Megachurch Pastor Apologizes For 'Blessing Of Slavery' Comment,0
214,Iowa Governor Will Restore Voting Rights To Felons,0
215,"5 Years After Charleston Church Shooting, South Carolina Protects Racist Monuments",0
216,Assault Charges For Missouri Detective Accused Of Hitting Protester With SUV,0
217,Kristen Stewart To Play Princess Diana In New Biopic,0
218,"Democrats Knock GOP Police Reform Bill, Call For 'Improvement'",0
219,Don Winslow Exposes The Art Of Trump’s Fake Victory Lap,0
220,Uncle Ben’s ‘Evolving’ Its Brand Identity After Aunt Jemima Name Change,0
221,Mississippi Official: Black People 'Dependent' Since Slavery,0
222,Aunt Jemima To Change Name After Acknowledging 'Racial Stereotype',0
223,Gwyneth Paltrow Reveals What The Follow-Up To Her 'Vagina' Candle Smells Like,0
224,GOP Cowardice On Trump Takes Center Stage In Scathing New Supercut,0
225,Anthony Fauci Hasn’t Talked With Trump About Coronavirus In 2 Weeks,0
226,Inside The Dangerous Online Fever Swamps Of American Police,0
227,Fox News ‘Law &amp; Order’ Hypocrisy Exposed In Blistering ‘Daily Show’ Supercut,0
228,'As Pathetic As It Is Reckless': Mike Pence Hammered Over Coronavirus Op-Ed,0
229,Trump Gets Hit With Blunt Fact-Check For AIDS Vaccine Falsehood,0
230,Ingraham Shows She’s Either Oblivious To Trump's Racism — Or Is Gaslighting You,0
231,3 States See Record High In Daily Coronavirus Infections After Reopening,0
232,Republican Group Questions Trump’s Health: ‘It’s Time We Talk About This’,0
233,Pence Says All 50 States Reopening In 'Responsible Manner.' Fauci Says Otherwise.,0
234,House Leadership Announces Upcoming Vote On D.C. Statehood,0
235,"Lord Fairfax, 65-Pound Alligator Snapping Turtle, Found Reigning Over Suburbia",0
236,‘You Can Call Me A Snitch’: 911 Dispatcher Alerted Supervisor To George Floyd’s Arrest,0
237,'Woefully Inadequate': Trump Order Falls Short Of Broader Push To Curb Cop Abuse,0
238,Virginia Governor To Propose Juneteenth As State Holiday,0
239,Atlanta Police Officer Who Shot Rayshard Brooks Had Past Reprimand For Use Of Force,0
240,NYPD Finds ‘No Criminality’ After Cop Union Alleged Shake Shack Poisoned Officers,0
241,"Coronavirus Cases Surge In Alabama, South Carolina And Oklahoma",0
242,"Americans Are The Unhappiest They've Been In 50 Years, Poll Finds",0
243,Dwayne Johnson Responds To Student’s Graduation Request In Most Heartwarming Way,0
244,African Nations Draft Resolution To Investigate U.S. For Human Rights Violations,0
245,"As Coronavirus Bears Down, A Private Equity Deal Haunts A Top Puerto Rican Hospital",0
246,New Jim Carrey Art Warns Voters To Look For This Pre-Election Sign,0
247,"‘So True!’ Trump Mocked For Retweeting Himself, Then Agreeing With Himself",0
248,Justice Department Sets New Dates To Begin Executing Federal Inmates On Death Row,0
249,Anderson Cooper Debunks Trump's Latest Coronavirus Claim With Basic Child Psychology,0
250,Jimmy Kimmel Mocks 'Weak' Trump: 'There's Clearly Something Going On',0
251,Dr. Sanjay Gupta: Trump Rally Is ‘Worst-Case Scenario’ For Spreading Coronavirus,0
252,"Laura Ingraham Calls Fauci ‘Medical Deep State,’ Tells Trump To Ignore Rally Virus Warnings",0
253,Lara Trump Insists President Has No Health Issues Despite Awkward Ramp Walk,0
254,Man Arrested In Shooting During Protest Of Spanish Conqueror Statue In Albuquerque,0
255,Pence Tells Governors To Share Misleading Facts About Coronavirus Infections: Reports,0
256,Tucker Carlson Dials Up Fear Factor In Ugly New Attack On Black Lives Matter,0
257,NYPD To Reassign 600 ‘Anti-Crime’ Plainclothes Officers Amid Protests,0
258,D.C. Statehood Gains New Support Among Senate Democrats After Trump Occupation,0
259,Missing Black Lives Matter Activist Among 2 Women Found Dead: Police,0
260,Trump Suggests Stopping COVID-19 Tests Would Result In Fewer Cases,0
261,Protests Spark Renewed Outcry Over Black Teen’s 55-Year 'Accomplice' Prison Sentence,0
262,"Oscars Postpone Ceremony, Extend Eligibility Period Due To COVID-19",0
263,"It’s ‘Clear’ Firing Someone For Being Gay Is Wrong, Gorsuch Says In Title VII Opinion",0
264,Politicians Praise Supreme Court’s Decision On LGBTQ Worker Protections,0
265,Partisan Fault Lines Emerge In Congress Over Police Reform,0
266,Supreme Court Rules For Pipeline In Appalachian Trail Dispute,0
267,Supreme Court Declines To Hear Trump's Legal Challenge To 'Sanctuary' Laws,0
268,White Woman Calls Cops On Man Writing 'Black Lives Matter' On His Own Property,0
269,John Oliver Rips 'Total F**king Moron' Tucker Carlson's 'Sesame Street' Meltdown,0
270,Trump’s Niece To Publish Tell-All Including ‘Salacious’ Details About President: Report,0
271,Chilling New Footage Shows Police Officer Ignoring Pleas To Help George Floyd,0
272,Browns QB Baker Mayfield Blasts Fan Who's Against Kneeling: 'Pull Your Head Out',0
273,Trump Tweet Mocking Obama’s ‘Unpresidential’ Walk Resurfaces After Ramp Incident,0
274,Police Video Shows Rayshard Brooks Sobriety Test Quickly Turning Deadly,0
275,"Cuomo Warns He May Reverse Reopenings After New York Gets 25,000 Complaints",0
276,Beyoncé Demands Cops Who Killed Breonna Taylor Be Charged In Letter To Attorney General,0
277,White House Adviser: No 'Transparency' Promise Ever Made Over Billions In Loans,0
278,Republican Senator 'Absolutely' Supports National Ban On Police Chokeholds,0
279,Ex-Defense Secretary: ‘Time Has Come’ To Strip Military Bases Of Confederate Names,0
280,Authorities Investigate Hanging Death Of Black Man; Second In Region In 2 Weeks,0
281,Health Expert Calls Trump's Tulsa Rally 'Extraordinarily Dangerous Move’,0
282,Protesters Light Fire Inside Wendy's Where Atlanta Police Killed Black Man,0
283,Seattle Man Gets $1.1 Million Coronavirus Hospital Bill: Report,0
284,"U.S. Embassy in Seoul, South Korea, ",0
285,Melania Trump Used Delay In White House Move To Renegotiate Prenup: Book,0
286,Atlanta Police Chief Resigns After Cop Kills Black Man At A Wendy's (UPDATE),0
287,Tulsa Health Officials Urge Caution On Gatherings Just 1 Week Before Trump Rally,0
288,"'SNL' Alum Jay Pharoah Says Cops Pulled Guns On Him While Walking, Knelt On Neck",0
289,"Trump 'Exploited Sacred Symbols,' Says Church Where He Married Melania",0
290,'A Setup For Disaster': Doctors Issue Ominous Coronavirus Warnings About Trump Rally,0
291,Trump Is ‘Too Small To Meet The Moment’ In New Biden Attack Ad,0
292,Don Lemon Responds To Dave Chappelle's Criticism Of Him In New Netflix Special,0
293,12 Amazing Photos You Missed This Week,0
294,California Woman Goes On Racist Rant Against Woman Exercising In Park,0
295,Legendary Batman Writer And DC Comics Editor Denny O'Neil Dies,0
296,"Fauci Urges Trump Rally Attendees To Wear Masks, Says Large Events Remain ‘Risky’",0
297,"List For Biden’s VP Pick Narrows Down To Warren, Harris, Susan Rice And More",0
298,Oscars To Develop 'Representation And Inclusion Standards',0
299,"Trump On Police Chokeholds: 'Concept' Is 'Innocent, So Perfect,' But Should Be Ended",0
300,John Bolton Says Reelection Is 'Only Thing That Mattered' To Trump,0
301,Band-Aid Announces New Bandages That 'Embrace The Beauty Of Diverse Skin',0
302,Joe Scarborough Rips Trump With Painfully Honest Rewrite Of Rally Coronavirus Waiver,0
303,Seth Meyers Gives Trump A History Lesson On Confederate Leader 'Dips**ts',0
304,Florida Migrant Towns Become Coronavirus Hot Spots In U.S.,0
305,"Cops Caught On Camera Napping, Relaxing In Lawmaker’s Office During Protests",0
306,'There Is Obviously A Race Issue In Food. I've Personally Dealt With It.',0
307,Tom Cotton Accidentally Gives The Washington Monument An Awesome New Name,0
308,Dave Chappelle Breaks His Silence On George Floyd In Powerful New Special,0
309,Supercut Exposes The Ugly Truth Of Trump’s Rhetoric On Protests,0
310,Don Lemon: Trump Just Said ‘The Dumbest Thing I’ve Ever Heard’,0
311,Biden Comes This Close To Dropping An F-Bomb On Trump's 'Very Fine' Racists,0
312,‘The Daily Show’ PSA Begs Canada To Invade ‘Failed State’ America,0
313,Trump Defends Racist Phrase By Citing Philadelphia's Infamous ‘Vote White’ Mayor,0
314,Louisville City Council Bans No-Knock Warrants After Breonna Taylor’s Death,0
315,Facebook Page Posting Trump's Verbatim Tweets Receives Erratic Response,0
316,Trump Campaign Says You Can't Sue If You Get COVID-19 At His Rally,0
317,Young COVID-19 Patient Becomes First In U.S. To Receive Double Lung Transplant,0
318,Black Tulsans Call Trump's Juneteenth Rally Plan 'A Slap In The Face',0
319,"With DACA In Peril, Black Dreamers Are Hoping For Equality And The Ability To Stay",0
320,Hollywood Celebs Get Dragged For Cringeworthy Anti-Racism Video,0
321,White Nationalist Richard Spencer Can't Afford To Pay Legal Fees In 'Unite The Right' Case,0
322,NYPD Cop Who Kneeled At Protest Apologizes To Fellow Officers,0
323,Trump Sanctions War Crimes Court To Silence Investigations Into U.S. Misconduct,0
324,It's Time To Defund The Police And Start Funding Social Workers,0
325,Donald Trump Makes Case For Joe Biden In Crazed All-Caps Tweet,0
326,Top U.S. Military Official Calls His Appearance In Trump's Church Photo-Op 'A Mistake',0
327,Breonna Taylor Was Killed By Police. Their Report Lists Her Injuries As 'None.',0
328,"Black Man Told Oklahoma Police 'I Can't Breathe' Before He Died, Video Shows",0
329,1.5 Million More Americans Seek Unemployment Benefits,0
330,Jimmy Kimmel Taunts Donald Trump Jr. With New Nickname,0
331,Robert De Niro Reveals Why Trump’s Botched Coronavirus Response Is So Scary,0
332,U.S. Passes 2 Million Coronavirus Cases,0
333,GOP State Senator Asks If Black People Get Coronavirus From Lax Handwashing,0
334,Republican Group Says Trump Just Became The 'Confederacy's Second President',0
335,Petition Calls For Statue Of GWAR’s Oderus Urungus To Replace Robert E. Lee,0
336,Joe Biden Doubles Down On His Stance Against Defunding The Police,0
337,Pulitzer-Winning Pandemic Reporter On Coronavirus: We're Far From Out Of The Woods,0
338,Pols Tell Trump To Go Back To The Bunker After His Threat To ‘Take Back’ Seattle,0
339,"Don Lemon Exposes ‘White-Mansplaining’ Of Trump, White House Officials",0
340,Red Sox Great Kevin Youkilis Recalls Racist Fenway Park Moment: 'I Was Boiling',0
341,Anderson Cooper Blasts 'Lie Teller' Kayleigh McEnany For 'Orwellian' Trump Defense,0
342,Statues Linked To Racist Past Toppled And Vandalized Around The U.S.,0
343,'I Know How They Feel': Tiffany Haddish Talks Of Her Pain At George Floyd's Memorial,0
344,LeBron James Is Fighting For Black Voting Rights With ‘More Than A Vote’ Initiative,0
345,NYC's Coronavirus Sex Advice Suggests Getting ‘Kinky’ By Doing It On Either Side Of A Wall,0
346,Wisconsin Gym Under Fire For 'I Can't Breathe' Workout,0
347,6 Women File Lawsuit Against USA Swimming Alleging Decades Of Child Sexual Abuse,0
348,Amazon Announces One Year Pause On Police Use Of Its Facial Recognition Tech,0
349,"With Trump's Approval Plunging, Republicans Say It's Too Early To Panic",0
350,Disneyland Plans To Reopen July 17 Following Coronavirus Closure,0
351,Punisher Co-Creator Reclaims Iconic Skull Logo For Black Lives Matter Fundraiser,0
352,Georgia's Primary Election Was A National Scandal,0
353,NASCAR Bans Confederate Flag At Its Events And Properties,0
354,Trump Won't 'Even Consider' Renaming Bases Named For Confederate Generals,0
355,"More Than 1,250 Ex-DOJ Workers Demand Probe Of AG Barr Over Protesters’ Removal",0
356,White House Doubles Down On Trump’s Smear Against Protester Shoved By Police,0
357,Trump Campaign Demands CNN Apologize For Poll That Shows Him Losing To Biden,0
358,Sunny Hostin Has No Time For Meghan McCain's 'Gone With The Wind' Lament,0
359,'I Am George Floyd': NFL Star Von Miller Writes Powerful Essay On Racism,0
360,CrossFit CEO Steps Down After Stunningly Racist Commentary,0
361,Christopher Columbus Statue Beheaded In Boston Park,0
362,As Many As 35 Million People Haven't Yet Received Stimulus Checks,0
363,Minneapolis Police Dept. Withdrawing From Union Negotiations,0
364,George Floyd's Brother To Congress: 'Stop The Pain',0
